no,latitude,longitude,nama masjid,alamat,
168,-3.0028,104.76153,Masjid Mujahidin,"Lrg. Kedukan Jalan KHA. Wahid Hasyim, 5 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30256",
169,-3.00212,104.76133,Mushola Nurobinturki,"Lrg. Kedukan Jalan KHA. Wahid Hasyim, 5 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30256",
170,-3.00205,104.7627,Masjid Thoriqul Jannah,"Lorong Perbatasan, 5 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30111",
171,-2.91568,104.69933,Masjid Miftahul Falah,"Jl. Sultan Mahmud Badaruddin II No.2281, Sukodadi, Kec. Sukarami, Kota Palembang, Sumatera Selatan 30961",
172,-2.91396,104.67616,Masjid Al- Yakub,"Jl. Palembang - Betung No.01, RT.01/RW.01, Sukamoro, Kec. Talang Klp., Kab. Banyuasin, Sumatera Selatan 30961",
173,-2.92572,104.7092,Masjid Ar-Rizko,"Jl. Soekarno Hatta, Karya Baru, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30153",
174,-2.92416,104.70498,Masjid Hj. Devina Al-Amin,"komplek villa Gardena 3 RT 047 RW 011 km10., Karya Baru, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30961",
175,-2.92111,104.70121,Masjid Al-Fathurrahman,"Jl. Jepang, Alang Alang Lebar, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30961",
176,-2.91914,104.69822,Masjid Al-Barokah,"Jl. Jepang, Alang Alang Lebar, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30961",
177,-2.91845,104.69009,Masjid Al-Mukhlisin,"Jl. Pajak Permai No.49, Alang Alang Lebar, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30961",
178,-2.91762,104.69067,Masjid Ibrahim Salim,"Murni RT 14, Jl. Taman Sari, Alang Alang Lebar, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30961",
179,-2.95349,104.73374,Masjid Assa'adah,"Jl. Letnan Murod No.945, talang ratu, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30151",
180,-2.97518,104.72344,Masjid Al - Ikhlas,"Jl. Macan Kumbang Raya No.8b, Demang Lebar Daun, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30151",
181,-2.981378,104.721391,Masjid Babussalam,Jl. Kancil Putih VII,
182,-2.981968,104.718469,Masjid Nurul Iman,Jl. Kancil Putih,
183,-2.986343,104.721719,Masjid Baiturrahman,Jl. Parameswara,
184,-2.9876,104.719655,Masjid Al-Munawwaroh,Jl. Paramewara No.50,
185,-2.988594,104.733745,Masjid Al-Ghazali,Jl. Masjid Al Ghazali No. 33,
186,-2.988738,104.788143,Masjid Al Hidayah,Jl. Tangga Takat No. 872,
187,-2990834,104.792238,Masjid Darul Iman,Jl. Jaya No.1400,
188,-2.993489,104.791379,Masjid Al-Akbar,Jl. Jaya No.1430,
189,-2.98922,104.791183,Masjid Daar Arifin,Jl. KH. Azhari,
190,-2.995697,104.775685,Masjid Baitul Muttaqin,Jl. Jendral Ahmad Yani,
191,-3.0015194,104.7108194,Mushollah Nurul Hidayah,"Jl. Tj. Rawo, Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan",
192,-3.0036155,104.7118378,Mushollah Hidayahtussifa,"Jl. Tj. Rawo, Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan",
193,-2.9973817,104.7149528,Mushollah Al-Ikhlas,"Lrg. BK Permai, Bukit Baru, Kec. Ilir Bar. I, Kota Palembang",
194,-2.9933616,104.7266264,Masjid Al-Firdaus,"Jl. Srijaya Negara Kel, Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan",
195,-2.9950102,104.7168115,Masjid Baiturrahman,"Gg. Sentosa, Bukit Baru, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30153",
196,-2.9973916,104.7208588,Masjid Darul Amanah,"Jl. Putri Kembang Dadar, Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30138",
197,-3.0002756,104.7194334,Masjid Al-Ikhlash,"Jl. Tj. Rawo, Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30138 ",
198,-2.9989276,104.7190751,Masjid Ar-Rahman,"Jl. Putri Kembang Dadar, Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30138",
199,-3.0034554,104.7234861,Masjid Al-Mu'alimin,"Perumahan bukit sejahtera, Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30139",
200,-3.0022247,104.7151058,Masjid Nurul Mujammi',"Jl. Tj. Rawo, Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30121 ",
201,-2.909867,104.7899,Masjid Iftahul Jannah,Sako baru,
202,-2.911817,104.78975,Masjid Nurul Huda,Jl.tembesi sako baru,
203,-2.9204,104.7781667,Masjid Nurul amanah,lr.aman sako baru,
204,-29314833,104.7914833,majid Muhajirin,Jl.ogan raya lebong gajah,
205,-2.9317333,104.7939667,Masjid Nurul Huda2,Jl.borang/rawas raya lebung gajah,
206,-2.9285,104.7962667,Masjid Istiqlal,Sako,
207,-2.92645,104.79444,masjid Al-iklas,Jl.Mutiara kecamatan sako,
208,-2.9240333,104.7924,Masjid Al-qobah.3,sako,
209,-2.9157833,104.7850167,Mesjid Darul Arsyad,Jl.Pangeran Ain,
210,-2.92925,104.7779,Mesjid Darusalam,Jl.Tanjung Pandan,
211,-3.01078,104.76803,Musholla Al-Ikhwan ,3-4 Ulu ,
212,-3.01081,104.76791,Masjid Darut Tqwa,Panca usaha ,
213,-3.02477,104.77972,Masjid Cheng Hoo ,15 ulu ,
